scene,song,listener,left_haaqi,right_haaqi,avg_haaqi
S62101,02_Sonata_vn_vn_0002,L6243,0.12241050015480355,0.12548952534837535,0.12395001275158946
S62105,02_Sonata_vn_vn_0003,L6221,0.11320903435688934,0.1264357533905515,0.11982239387372041
S62108,02_Sonata_vn_vn_0003,L6237,0.13190236869364855,0.11600650754618248,0.12395443811991552
S62112,26_King_vn_vn_va_vc_0001,L6215,0.3426174189215899,0.317047117753419,0.32983226833750445
S62115,26_King_vn_vn_va_vc_0002,L6235,0.16058911709596857,0.16105380650042211,0.16082146179819534
S62119,26_King_vn_vn_va_vc_0003,L6213,0.15886282614607575,0.17955670211828467,0.1692097641321802
S62122,26_King_vn_vn_va_vc_0004,L6234,0.15125220276201787,0.1566451197005428,0.15394866123128031
S62126,26_King_vn_vn_va_vc_0005,L6212,0.16145995125261584,0.1585934204772213,0.16002668586491858
S62129,27_King_vn_vn_va_sax_0001,L6230,0.38680992089989097,0.3704515680542731,0.378630744477082
S62133,27_King_vn_vn_va_sax_0002,L6204,0.1334873525229786,0.13665924461634466,0.13507329856966163
S62136,27_King_vn_vn_va_sax_0002,L6241,0.1354419750619311,0.1204920549980868,0.12796701503000896
S62140,27_King_vn_vn_va_sax_0003,L6212,0.1370802116214258,0.11813530668239026,0.12760775915190803
S62143,27_King_vn_vn_va_sax_0004,L6229,0.152674004387006,0.1497081414466487,0.15119107291682737
S62147,27_King_vn_vn_va_sax_0005,L6204,0.1385183807308774,0.13697169295916417,0.1377450368450208
S62150,11_Maria_ob_vc_0001,L6220,0.28349384994390403,0.28218036052335616,0.2828371052336301
S62153,11_Maria_ob_vc_0002,L6251,nan,nan,nan
S62157,11_Maria_ob_vc_0003,L6225,0.14695913843148833,0.14791430906280667,0.1474367237471475
S62160,11_Maria_ob_vc_0003,L6245,0.12343459305959038,0.125436801188549,0.12443569712406968
S62164,11_Maria_ob_vc_0004,L6224,0.13500350018808224,0.11510040386789218,0.12505195202798722
S62167,11_Maria_ob_vc_0005,L6243,0.14029299292939845,0.13865133037697455,0.1394721616531865
S62171,11_Maria_ob_vc_0006,L6215,0.1323105097101475,0.13067407514804155,0.13149229242909452
S62174,40_Miserere_fl_fl_ob_cl_bn_0001,L6241,0.196095035921329,0.15898628341025256,0.17754065966579077
S62178,40_Miserere_fl_fl_ob_cl_bn_0002,L6215,0.1464811743660184,0.1398961534856381,0.14318866392582824
S62181,41_Miserere_fl_fl_ob_sax_bn_0001,L6237,0.2038026227630998,0.18121066569174155,0.19250664422742067
